Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,25.459999,27.200001,24.350000,25.570000,25.299259,58822700
2009-11-01,25.799999,26.629999,25.320000,26.490000,26.209518,44777500
2009-12-01,26.670000,26.840000,25.770000,26.440001,26.160048,36998600
2010-01-01,26.830000,27.090000,25.299999,25.299999,25.032118,49188100
2010-02-01,25.360001,25.900000,24.709999,25.400000,25.131058,40203500
2010-03-01,25.360001,25.389999,23.980000,24.219999,23.963552,29450800
2010-04-01,24.250000,25.040001,24.150000,24.900000,24.636353,30638600
2010-05-01,24.930000,24.930000,23.379999,23.580000,23.330330,29238800
2010-06-01,23.420000,24.430000,22.850000,23.990000,23.735989,17199400
2010-07-01,24.080000,25.990000,23.790001,25.980000,25.704918,21651100
2010-08-01,26.209999,26.750000,25.450001,25.980000,25.704918,28911600
2010-09-01,26.190001,28.070000,26.139999,27.480000,27.189035,32137100
2010-10-01,27.309999,29.770000,26.379999,29.700001,29.385530,50298500
2010-11-01,29.770000,31.650000,28.230000,29.090000,28.781988,54674900
2010-12-01,29.379999,32.450001,29.379999,32.349998,32.007469,37235900
2011-01-01,32.580002,34.360001,31.350000,34.290001,33.926929,56090100
2011-02-01,34.299999,35.330002,33.799999,34.970001,34.599731,70950000
2011-03-01,34.900002,35.580002,31.870001,34.230000,33.867565,80517600
2011-04-01,34.169998,34.830002,33.459999,34.060001,33.699368,54752800
2011-05-01,34.000000,34.250000,31.950001,32.730000,32.383446,59112600
2011-06-01,32.590000,33.360001,31.459999,31.740000,31.403929,43249900
2011-07-01,31.660000,33.419998,31.650000,32.250000,31.908529,39371900
2011-08-01,32.520000,34.209999,31.270000,34.110001,33.748837,47570600
2011-09-01,33.939999,34.080002,29.620001,29.670000,29.355846,38689800
2011-10-01,29.500000,31.209999,29.320000,30.410000,30.088013,25519300
2011-11-01,29.910000,30.840000,28.540001,28.990000,28.683046,22523600
2011-12-01,29.049999,29.070000,27.570000,28.879999,28.574211,23280800
